Entry,Entry name,geneid,genename
Q8BGT0,OSTM1_MOUSE,14628;,Ostm1
F7A4A7,OTOGL_MOUSE,628870;,Otogl
P80205,OTX1_MOUSE,18423;,Otx1
Q9D7E3,OVCA2_MOUSE,246257;,Ovca2
O09046,OXLA_MOUSE,100328588;14204;,Il4i1
Q9D2F7,P210L_MOUSE,77595;,Nup210l
P54369,OAZ1_MOUSE,18245;,Oaz1
Q9D3H2,OBP1A_MOUSE,18249;,Obp1a
P35487,ODPAT_MOUSE,18598;,Pdha2
Q4PJX1,ODR4_MOUSE,226499;,Odr4
Q9CQ04,OGFD2_MOUSE,66627;,Ogfod2
Q60880,OL141_MOUSE,,Olfr141
P34985,OL143_MOUSE,,Olfr143
Q60884,OL146_MOUSE,258742;,Olfr146
Q9QY00,OL154_MOUSE,27216;,Olfr154
Q8VGQ7,OL181_MOUSE,259001;,Olfr181
Q8VEX5,OL186_MOUSE,258318;,Olfr186
Q8VF66,OL469_MOUSE,258418;,Olfr469
Q8VG43,OL472_MOUSE,258770;,Olfr472
Q8VFC9,OL474_MOUSE,258488;,Olfr474
Q8VGI6,OL477_MOUSE,258928;,Olfr477
Q8VEZ0,OL480_MOUSE,56861;,Olfr480
Q8VG03,OL482_MOUSE,258728;,Olfr482
Q8VFD3,OL484_MOUSE,258492;,Olfr484
Q8VG02,OL488_MOUSE,258727;,Olfr488
Q8VG06,OL491_MOUSE,258731;,Olfr491
Q8VG13,OL507_MOUSE,258738;,Olfr507
Q8VEW6,OL510_MOUSE,258308;,Olfr510
Q7TRF3,OL867_MOUSE,257898;,Olfr867
Q8VF76,OL998_MOUSE,258428;,Olfr998
Q60890,OLF11_MOUSE,218066;,Olfr11
P23275,OLF15_MOUSE,18312;,Olfr15
Q9JHB2,OLF19_MOUSE,18316;,Olfr19
Q3UZZ4,OLFM4_MOUSE,,Olfm4
Q9JKN5,OLIG1_MOUSE,50914;,Olig1
Q9EQ09,OLR1_MOUSE,108078;,Olr1
Q8K557,ONEC3_MOUSE,246086;,Onecut3
E9Q5G7,OOG1_MOUSE,193322;,Oog1
Q925U0,OOSP1_MOUSE,170834;,Oosp1
Q99J31,OPHN1_MOUSE,94190;,Ophn1
Q8K010,OPLA_MOUSE,75475;,Oplah
Q9QXZ9,OPN4_MOUSE,30044;,Opn4
P32300,OPRD_MOUSE,18386;,Oprd1
P33534,OPRK_MOUSE,18387;,Oprk1
O88708,ORC4_MOUSE,26428;,Orc4
O55241,OREX_MOUSE,15171;,Hcrt
Q9WVD5,ORNT1_MOUSE,18408;,Slc25a15
O54734,OST48_MOUSE,13200;,Ddost
Q9ESF1,OTOF_MOUSE,83762;,Otof
O55225,OTOG_MOUSE,,Otog
Q80VM9,OTOP1_MOUSE,21906;,Otop1
Q9JIE3,OTOR_MOUSE,57329;,Otor
O09113,OTP_MOUSE,18420;,Otp
Q9CQX0,OTUB2_MOUSE,68149;,Otub2
Q7M761,OVCH2_MOUSE,244199;,Ovch2
D3YYM0,OVOL3_MOUSE,381867;,Ovol3
Q922Z0,OXDD_MOUSE,70503;,Ddo
Q6IYF8,OXGR1_MOUSE,239283;,Oxgr1
Q4KMM3,OXR1_MOUSE,170719;,Oxr1
Q9D404,OXSM_MOUSE,71147;,Oxsm
P97926,OXYR_MOUSE,18430;,Oxtr
Q9DCC4,P5CR3_MOUSE,66194;,Pycr3
O88898,P63_MOUSE,22061;,Tp63
Q61206,PA1B2_MOUSE,18475;,Pafah1b2
Q64GA5,PA24C_MOUSE,232889;,Pla2g4c
P31482,PA2GA_MOUSE,18780;,Pla2g2a
Q9QUL3,PA2GE_MOUSE,26970;,Pla2g2e
Q9QZT4,PA2GF_MOUSE,26971;,Pla2g2f
Q9CPZ6,ORML3_MOUSE,66612;,Ormdl3
Q8CI95,OSB11_MOUSE,,Osbpl11
Q8BX94,OSBL2_MOUSE,228983;,Osbpl2
Q5QNQ6,OSBP2_MOUSE,74309;,Osbp2
Q8VBT3,OSCAR_MOUSE,232790;,Oscar
Q6PEB4,OSGP2_MOUSE,72085;,Osgepl1
Q91ZD1,OSR2_MOUSE,107587;,Osr2
Q99LX8,OST4_MOUSE,67695;,Ost4
P86547,OSTC2_MOUSE,12097;,Bglap2
P61364,OSTN_MOUSE,239790;,Ostn
Q80SX5,OTOP2_MOUSE,237987;,Otop2
Q8CB27,OTU1_MOUSE,226418;,Yod1
Q6IE21,OTU6A_MOUSE,408193;,Otud6a
Q8K2H2,OTU6B_MOUSE,72201;,Otud6b
Q8R554,OTU7A_MOUSE,170711;,Otud7a
Q9CWP9,P23A3_MOUSE,71979;,Prr23a3
Q9Z176,P2R3D_MOUSE,,Ppp2r3d
Q8K3P1,P2RX2_MOUSE,231602;,P2rx2
Q3UR32,P2RX3_MOUSE,228139;,P2rx3
Q9JJX6,P2RX4_MOUSE,,P2rx4
O54803,P2RX6_MOUSE,18440;,P2rx6
Q9Z1M0,P2RX7_MOUSE,18439;,P2rx7
P49650,P2RY1_MOUSE,18441;,P2ry1
